GSTIN,COMPANY_NAME
01AAECC7691L1ZG,CHOUDHARY POWER PROJECTS PRIVATE LIMITED
01ANXPN8615J1ZI,ESS ESS ENTERPRISES
01AABCS6697K4ZY,SUDHIR POWER LTD.
02AAACM1868P1Z9,Myco Electricals Private Limited
02AAACS3561K1ZJ,LUMINOUS POWER TECHNOLOGIES PRIVATE LIMITED
02AAICS1307F1ZY,SJVN LIMITED
02AAIPK8821H1ZU,K-INDIA
02AADCS9665B1ZI,STARLINK COMMUNICATION PVT.LTD.
02AANFA2267J1ZJ,A P PRODUCT
02AAFPS7442F1ZU,SUVIDHA APPLIANCES.
02AAACM0092P1ZJ,MICROTEK INTERNATIONAL PRIVATE LIMITED
02AACCM0993P1Z7,EASTMAN AUTO & POWER LIMITED
02AAAFQ2356H1ZN,QUALITY INDUSTRIES
02AAHPM9630R1Z7,GRAMMY ELECTRONICS UNIT-II
02AANFP6841P2ZN,POLESTAR POWER INDUSTRIES
02AAACA7909D1Z8,ATLANTA SYSTEMS PVT. LTD.
02AABPB0668A1ZR,BIYANI & SONS
02AAFCN4843C1ZX,NGG POWER TECH INDIA PRIVATE LIMITED
02AACCC6289N1ZC,FRAZER FOODS INDIA PRIVATE LIMITED
02AAECG5676P1Z5,LIVGUARD BATTERIES PRIVATE LIMITED
02AAFCC9473R1Z1,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED
02AACCP4046N1ZG,PHOENIX UDYOG PVT. LTD.
02AAJCA0072C1ZH,WIPRO ENTERPRISES PRIVATE LIMITED (UNIT-II)
02AAECM9272F1ZK,MODERN BUSINESS EQUIPMENTS AND SERVICES PVT LTD
02AAECS0758A1ZZ,STESALIT LIMITED (UNIT -III)
02AASFG6111G1ZO,GOODWILL ENERGY ENTERPRISES
02ADGFS9021E1ZF,SARK GENEX
02AABFF4735C1Z4,FEWA ELECTRICAL CORPORATION
02ABMFS5267L1ZQ,SHRI BALAJI INDUSTRIES
02AACFJ9239Q2ZW,JAY BEE INDUSTRIES
02ABFFS6596M1ZL,SURYA TEXTECH
02AAOCM8954C1ZD,MICROTEK UNIVERSAL POWER PRODUCTS PRIVATE LIMITED
02AACCD8229R1ZB,DARAMIC BATTERY SEPARATOR INDIA P LTD
02AADCK3295K1ZH,KAYNES TECHNOLOGY INDIA LIMITED
02AAACC0003E2ZW,Alisha Coils and Transformers A Division Of Cosmo Ferrites Ltd
02ABCCS0953Q1Z5,SU-URJA SOLAR SYSTEMS PRIVATE LIMITED
02ABUPV9582D1Z1,VI-SON INDUSTRIES II
02ABPFS9058L1ZI,SECURINEX INC.
02AAJCA0072C3ZF,WIPRO ENTERPRISES PRIVATE LIMITED (UNIT-I)
02AAECK0288K1ZL,KUNDAN PRECISION COMPONENTS PRIVATE LIMITED
02AACCC7095E1ZX,CLASSIC IMPORTS PVT LTD
03AAGCA9719D1ZW,ACTION BATTERIES PVT LTD
03AABCJ8122E1Z3,J.R. TRANSFORMERS PRIVATE LIMITED
03AAECA0914A1ZP,ACME CLEANTECH SOLUTIONS PVT LTD
03AAPCS9396H1ZO,SAM PLASTOTECH PRIVATE LIMITED
03AAFCN5229A1Z1,Giga Solar
03AAECA3128N1ZU,ASCO SWITCHGEARS PVT LTD
03AALCP6192J1Z2,PRAMA INDIA PRIVATE LIMITED
03AAACL2561J1ZS,LEOTRONIC SCALES PRIVATE LIMITED
03AAHCP3451A1Z1,VECTOR GREEN SURYA URJA PRIVATE LIMITED
03AACCM0993P1Z5,EASTMAN AUTO & POWER LIMITED
03AACCH3637B1Z8,H.R.POWER PROJECTS PVT. LTD.
03AACCN5223H1ZW,NABHA POWER LIMITED
03AAACE0758J1ZW,ECKO CABLES (P) LTD.
03AADCL7793B1ZM,LIKEON TRADING INTERNATIONAL PRIVATE LIMITED
03AAAFE2634A1ZE,EVERSHINE ELECTRICAL WORKS ( INDIA )
03AAHCA0923G1Z9,Azure Power(India) Pvt. LTD
03AAACI6305F1Z6,INTERNATIONAL SWITCHGEAR PRIVATE LIMITED
03AAFCP5120Q1ZC,"Punjab State Power Corporation Limited,"
03AABCP0385R1Z5,PUNJAB TRANSFORMERS & ELECTRONICS LTD.
03AAICG0935F1Z0,GVM RAIL PRIVATE LIMITED
03BBLPK2543K1ZO,SURYODAYA ENERGIES
03AACCS7233A2ZY,SATIA INDUSTRIES LIMITED
03AABCM4598D1ZM,MAHASHAKTI ENERGY LIMITED
03AAACG7488H2ZH,GVK POWER (GOINDWAL SAHIB) LIMITED
03AAAFF1893L1ZF,FINE SWITCHGEARS
03AAACT7283R1ZR,TRIPHASE TECHNOLOGIES PRIVATE LIMITED
03ABSPM8363P1ZS,POWER ENGINEERS & CONSULTANTS
03AMWPK3653M2ZH,ELIZA POWER & SOLAR
03AMBPH3573L1Z5,TABONN ASSOCIATES
03AAACP9916H1ZG,PUNJAB COMMUNICATIONS LTD
03AAACM0092P1ZH,MICROTEK INTERNATIONAL PRIVATE LIMITED
03AAAFH6610B1Z9,H C JAIN SALES INDIA
03AALFP3609F1ZH,P. S. INDUSTRIES
03AAECH6842C1ZZ,HARISON GENERATORS PRIVATE LIMITED
03AAMCS5396N1ZM,SONI CONDUCTORS PRIVATE LTD
03AAECM9272F1ZI,MODERN BUSINESS EQUIPMENTS & SERVICES PVT. LTD.
03AAACJ0101G1ZL,HELLA INDIA LIGHTING LIMITED
03AAVCS8640J1ZS,SUKHJIT MEGA FOOD PARK & INFRA LIMITED
03AAACF2779G1ZT,FRIENDS METALS PVT LTD.
03AACCM0019L1ZW,MODERN INSECTICIDES LTD.
04AAFCP5076M1Z3,PORTRONICS DIGITAL PRIVATE LIMITED
04AACCS2987F1ZC,SU SOLARTECH SYSTEMS PVT. LTD.
04AADCH1476P1ZB,HERO SOLAR ENERGY PRIVATE LIMITED
04AAACI6305F1Z4,INTERNATIONAL SWITCHGEAR (P) LTD.
05AADCH6698F1ZC,HYGRID SOLAR PRIVATE LIMITED
05AAACM8055A1ZX,M/S MIRC ELECTRONICS LIMITED
05AAACE5778N1Z6,M/S EVEREADY INDUSTRIES INDIA LTD
05AAACN0255D2Z3,M/S NTPC LTD
05AAACN0243P1ZJ,M/S NEEDLE EYE PLASTIC INDUSTRIES (P) LTD
05AAACE3212F1ZE,ESSAE DIGITRONICS PRIVATE LIMITED
05AAECA2190C1Z9,PANASONIC LIFE SOLUTIONS INDIA PRIVATE LIMITED
05AAJCS8051R1ZN,M/S SAMRIDDHI AUTOMATIONS PVT.LTD.
05AAICG9459N1ZU,GLOBALMET INDUSTRIES PRIVATE LIMITED
05AAFCE4759E1ZP,EPACK DURABLE PRIVATE LIMITED
05AANCS0511Q1Z4,M/S SAVVAK ENGINEERING INNOVATIONS PVT LTD
05AACFE1653M2ZH,M/S ELECTRO  EQUIPMENTS
05AEGPN3891L1Z2,M/S PRABHU INDUSTRIES
05AACCV5912H1ZG,M/S VISHWAKARMA SCALES PRIVATE LTD
05AADCH0303D1ZI,KARVY INNOTECH LIMITED
05AAACD3641D1ZA,DIXON TECHNOLOGIES (INDIA) LIMITED
05AACCC8447Q1Z4,CSH POWER HIMOINSA PRIVATE LIMITED
05AAACB5411H1Z8,CDPS ELECTRONICS
05AACCT6860A2ZM,TECHNO ELECTRONICS LIMITED
05AANCM5330P1Z1,Motherson Sumi Wiring India limited
05AAACS3561K1ZD,M/S LUMINOUS POWER TECHNOLOGIES PVT LTD
05AAECB2066Q1ZG,M/S VIVAAN SOLAR PRIVATE LIMITED
05AABCH7439Q1Z2,M/S HEPTACARE POWER INDUSTRIES (P) LTD
05AADCT5964A1ZJ,TOLLMAN INTERNATIONAL PRIVATE LIMITED
05AADCK0088Q1Z6,M/S KALAKRITI INFOTECH PVT LTD
05AABCS4712P1Z7,M/S SUPER CASSETTES IND.PVT LTD.
05ABHPS2686N1ZZ,M/S SSS COMPONENTS
05AACCB1828N1ZO,M/S BHAGWATI PRODUCTS LTD.
05AABFR8502P1ZY,M/S R.J. INDUSTRIAL CORP.
05AACCG4460D1Z2,M/S GENUS INNOVATION LIMITED
